            ,imagenet_index,imagenet_category                                         ,correct
cat.23.jpg  ,223           ,schipperke                                                ,False
cat.237.jpg ,283           ,Persian cat                                               ,True
cat.259.jpg ,223           ,schipperke                                                ,False
cat.264.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.282.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.295.jpg ,282           ,tiger cat                                                 ,True
cat.312.jpg ,861           ,toilet seat                                               ,False
cat.313.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.340.jpg ,285           ,Egyptian cat                                              ,True
cat.346.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.353.jpg ,287           ,"lynx, catamount"                                         ,False
cat.356.jpg ,284           ,"Siamese cat, Siamese"                                    ,True
cat.379.jpg ,282           ,tiger cat                                                 ,True
cat.39.jpg  ,281           ,"tabby, tabby cat"                                        ,True
cat.405.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.438.jpg ,283           ,Persian cat                                               ,True
cat.444.jpg ,285           ,Egyptian cat                                              ,True
cat.469.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.489.jpg ,797           ,sleeping bag                                              ,False
cat.491.jpg ,283           ,Persian cat                                               ,True
cat.5.jpg   ,284           ,"Siamese cat, Siamese"                                    ,True
cat.50.jpg  ,285           ,Egyptian cat                                              ,True
cat.502.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.512.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.525.jpg ,285           ,Egyptian cat                                              ,True
cat.526.jpg ,285           ,Egyptian cat                                              ,True
cat.533.jpg ,285           ,Egyptian cat                                              ,True
cat.539.jpg ,279           ,"Arctic fox, white fox, Alopex lagopus"                   ,False
cat.556.jpg ,285           ,Egyptian cat                                              ,True
cat.557.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.577.jpg ,285           ,Egyptian cat                                              ,True
cat.578.jpg ,337           ,beaver                                                    ,False
cat.584.jpg ,285           ,Egyptian cat                                              ,True
cat.590.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.594.jpg ,223           ,schipperke                                                ,False
cat.600.jpg ,282           ,tiger cat                                                 ,True
cat.602.jpg ,285           ,Egyptian cat                                              ,True
cat.603.jpg ,287           ,"lynx, catamount"                                         ,False
cat.604.jpg ,151           ,Chihuahua                                                 ,False
cat.631.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.641.jpg ,369           ,"siamang, Hylobates syndactylus, Symphalangus syndactylus",False
cat.694.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.699.jpg ,284           ,"Siamese cat, Siamese"                                    ,True
cat.714.jpg ,861           ,toilet seat                                               ,False
cat.716.jpg ,223           ,schipperke                                                ,False
cat.724.jpg ,225           ,malinois                                                  ,False
cat.740.jpg ,904           ,window screen                                             ,False
cat.749.jpg ,282           ,tiger cat                                                 ,True
cat.767.jpg ,223           ,schipperke                                                ,False
cat.772.jpg ,284           ,"Siamese cat, Siamese"                                    ,True
cat.777.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.811.jpg ,285           ,Egyptian cat                                              ,True
cat.814.jpg ,285           ,Egyptian cat                                              ,True
cat.906.jpg ,223           ,schipperke                                                ,False
cat.908.jpg ,377           ,marmoset                                                  ,False
cat.92.jpg  ,584           ,hair slide                                                ,False
cat.921.jpg ,285           ,Egyptian cat                                              ,True
cat.953.jpg ,197           ,giant schnauzer                                           ,False
cat.954.jpg ,285           ,Egyptian cat                                              ,True
cat.965.jpg ,281           ,"tabby, tabby cat"                                        ,True
cat.974.jpg ,361           ,"skunk, polecat, wood pussy"                              ,False
cat.994.jpg ,281           ,"tabby, tabby cat"                                        ,True
